,0
468,HES5|388585
469,HEYL|26508
470,HFE2|148738
471,HFM1|164045
472,HHAT|55733
473,HHIPL2|79802
474,HIST2H2AA3|8337
475,HIST2H2AC|8338
476,HIST2H2BA|337875
477,HIST2H2BE|8349
478,HIST2H2BF|440689
479,HIST2H3C|126961
480,HIST2H4A|8370
481,HIST3H2A|92815
482,HIST3H2BB|128312
483,HIVEP3|59269
484,HLX|3142
485,HMCN1|83872
486,HMGCS2|3158
487,HOOK1|51361
488,HORMAD1|84072
489,HPCAL4|51440
490,HPCA|3208
491,HPDL|84842
492,HRNR|388697
493,HSD11B1|3290
494,HSD3B1|3283
495,HSD3B2|3284
496,HSP90B3P|343477
497,HSPA6|3310
498,HSPA7|3311
499,HSPB7|27129
500,HSPG2|3339
501,HTR1D|3352
502,HTR6|3362
503,ID3|3399
504,IFFO2|126917
505,IFI16|3428
506,IFI44L|10964
507,IFI44|10561
508,IFI6|2537
509,IGFN1|91156
510,IGSF21|84966
511,IGSF3|3321
512,IGSF9|57549
513,IKBKE|9641
514,IL10|3586
515,IL12RB2|3595
516,IL19|29949
517,IL20|50604
518,IL22RA1|58985
519,IL23R|149233
520,IL24|11009
521,IL28RA|163702
522,IL6R|3570
523,ILDR2|387597
524,INADL|10207
525,INSRR|3645
526,IQGAP3|128239
527,IRF6|3664
528,ISG15|9636
529,ITGA10|8515
530,ITLN1|55600
531,ITLN2|142683
532,ITPKB|3707
533,IVL|3713
534,JUN|3725
535,KANK4|163782
536,KAZ|23254
537,KCNA2|3737
538,KCNA3|3738
539,KCNAB2|8514
540,KCNC4|3749
541,KCND3|3752
542,KCNH1|3756
543,KCNJ10|3766
544,KCNJ9|3765
545,KCNK1|3775
546,KCNK2|3776
547,KCNN3|3782
548,KCNQ4|9132
549,KCNT2|343450
550,KIAA0040|9674
551,KIAA0495|57212
552,KIAA0754|643314
553,KIAA1107|23285
554,KIAA1324|57535
555,KIAA1383|54627
556,KIAA1522|57648
557,KIAA1614|57710
558,KIAA1751|85452
559,KIAA1804|84451
560,KIF14|9928
561,KIF17|57576
562,KIF21B|23046
563,KIF26B|55083
564,KIF2C|11004
565,KIRREL|55243
566,KISS1|3814
567,KLF17|128209
568,KLHDC7A|127707
569,KLHDC8A|55220
570,KLHDC9|126823
571,KMO|8564
572,KPRP|448834
573,L1TD1|54596
574,LAD1|3898
575,LAMB3|3914
576,LAMC1|3915
577,LAMC2|3918
578,LAPTM5|7805
579,LAX1|54900
580,LCE1C|353133
581,LCE2A|353139
582,LCE3D|84648
583,LCE3E|353145
584,LCK|3932
585,LDLRAD1|388633
586,LDLRAD2|401944
587,LEFTY1|10637
588,LEFTY2|7044
589,LEMD1|93273
590,LEPROT|54741
591,LEPR|3953
592,LGR6|59352
593,LHX4|89884
594,LHX8|431707
595,LHX9|56956
596,LIN28A|79727
597,LINGO4|339398
598,LMNA|4000
599,LMO4|8543
600,LMOD1|25802
601,LMX1A|4009
602,LOC100129534|100129534
603,LOC100130331|100130331
604,LOC100132111|100132111
605,LOC100132287|100132287
606,LOC100133331|100133331
607,LOC100133612|100133612
608,LOC115110|115110
609,LOC127841|127841
610,LOC148696|148696
611,LOC148709|148709
612,LOC148824|148824
613,LOC149134|149134
614,LOC149620|149620
615,LOC284551|284551
616,LOC284578|284578
617,LOC339524|339524
618,LOC339535|339535
619,LOC388588|388588
620,LOC388692|388692
621,LOC400752|400752
622,LOC400759|400759
623,LOC400794|400794
624,LOC441869|441869
625,LOC642587|642587
626,LOC645166|645166
627,LOC646471|646471
628,LOC646627|646627
629,LOC647121|647121
630,LOC648740|648740
631,LOC649330|649330
632,LOC728855|728855
633,LOC728989|728989
634,LOR|4014
